Country,Type,Value,ISO-code
Grenada,Population_growth,39,GRD
Guatemala,Population_growth,253,GTM
Guinea,Population_growth,239,GIN
Guyana,Population_growth,57,GUY
Haiti,Population_growth,139,HTI
Honduras,Population_growth,203,HND
Hong Kong,Population_growth,117,HKG
Hungary,Population_growth,-28,HUN
Iceland,Population_growth,35,ISL
India,Population_growth,126,IND
Indonesia,Population_growth,125,IDN
Iran,Population_growth,132,IRN
Iraq,Population_growth,254,IRQ
Ireland,Population_growth,26,IRL
Israel,Population_growth,181,ISR
Italy,Population_growth,32,ITA
Ivory Coast,Population_growth,229,CIV
Jamaica,Population_growth,21,JAM
Japan,Population_growth,-2,JPN
Jordan,Population_growth,219,JOR
Kazakhstan,Population_growth,143,KAZ
Kenya,Population_growth,27,KEN
Kiribati,Population_growth,154,KIR
Kuwait,Population_growth,395,KWT
Kyrgyzstan,Population_growth,122,KGZ
Laos,Population_growth,189,LAO
Latvia,Population_growth,-16,LVA
Lebanon,Population_growth,96,LBN
Lesotho,Population_growth,108,LSO
Liberia,Population_growth,268,LBR
Libya,Population_growth,84,LBY
Liechtenstein,Population_growth,73,LIE
Lithuania,Population_growth,-148,LTU
Luxembourg,Population_growth,249,LUX
Madagascar,Population_growth,28,MDG
Malawi,Population_growth,286,MWI
Malaysia,Population_growth,166,MYS
Mali,Population_growth,299,MLI
Malta,Population_growth,4,MLT
Marshall Islands,Population_growth,11,MHL
Mauritania,Population_growth,249,MRT
Mauritius,Population_growth,42,MUS
Mexico,Population_growth,124,MEX
Micronesia,Population_growth,-3,FSM
Moldova,Population_growth,-4,MDA
Mongolia,Population_growth,152,MNG
Montenegro,Population_growth,7,MNE
Morocco,Population_growth,143,MAR
Mozambique,Population_growth,25,MOZ
Myanmar,Population_growth,85,MMR
Namibia,Population_growth,187,NAM
Nepal,Population_growth,116,NPL
Netherlands,Population_growth,45,NLD
New Zealand,Population_growth,63,NZL
Nicaragua,Population_growth,146,NIC
Niger,Population_growth,384,NER
Nigeria,Population_growth,279,NGA
North Macedonia,Population_growth,8,MKD
Norway,Population_growth,132,NOR
Oman,Population_growth,913,OMN
Pakistan,Population_growth,269,PAK
Palau,Population_growth,72,PLW
Palestine,Population_growth,301,PSE
Panama,Population_growth,164,PAN
Papua New Guinea,Population_growth,217,PNG
Paraguay,Population_growth,172,PRY
Peru,Population_growth,125,PER
Philippines,Population_growth,172,PHL
Poland,Population_growth,2,POL
Portugal,Population_growth,-29,PRT
Republic of the Congo,Population_growth,261,COG
Romania,Population_growth,-27,ROU
Russia,Population_growth,4,RUS
Rwanda,Population_growth,277,RWA
Saint Kitts and Nevis,Population_growth,115,KNA
Saint Lucia,Population_growth,89,LCA
Saint Vincent and the Grenadines,Population_growth,1,VCT
Samoa,Population_growth,78,WSM
Sao Tome and Principe,Population_growth,,STP
Saudi Arabia,Population_growth,188,SAU
Senegal,Population_growth,292,SEN
Serbia,Population_growth,-48,SRB
Seychelles,Population_growth,39,SYC
Sierra Leone,Population_growth,191,SLE
Singapore,Population_growth,245,SGP
Slovakia,Population_growth,22,SVK
Slovenia,Population_growth,26,SVN
Solomon Islands,Population_growth,213,SLB
Somalia,Population_growth,286,SOM
South Africa,Population_growth,118,ZAF
South Sudan,Population_growth,43,SSD
Spain,Population_growth,9,ESP
Sri Lanka,Population_growth,104,LKA
Sudan,Population_growth,208,SDN
Suriname,Population_growth,9,SUR
Sweden,Population_growth,71,SWE
Syria,Population_growth,197,SYR
Tajikistan,Population_growth,245,TJK
Tanzania,Population_growth,304,TZA
Thailand,Population_growth,31,THA
The Bahamas,Population_growth,152,BHS
The Gambia,Population_growth,319,GMB
Togo,Population_growth,26,TGO
Tonga,Population_growth,37,TON
Trinidad and Tobago,Population_growth,33,TTO
Tunisia,Population_growth,97,TUN
Turkey,Population_growth,128,TUR
Turkmenistan,Population_growth,129,TKM
Uganda,Population_growth,335,UGA
Ukraine,Population_growth,-25,UKR
United Arab Emirates,Population_growth,31,ARE
United Kingdom,Population_growth,75,GBR
United States,Population_growth,74,USA
Uruguay,Population_growth,35,URY
Uzbekistan,Population_growth,147,UZB
Vanuatu,Population_growth,224,VUT
Venezuela,Population_growth,153,VEN
Vietnam,Population_growth,106,VNM
Yemen,Population_growth,233,YEM
Zambia,Population_growth,319,ZMB
Zimbabwe,Population_growth,27,ZWE
Afghanistan,GDP_per_capita,21820,AFG
Algeria,GDP_per_capita,160910,DZA
Andorra,GDP_per_capita,,AND
Angola,GDP_per_capita,67630,AGO
Antigua and Barbuda,GDP_per_capita,305930,ATG
Argentina,GDP_per_capita,199710,ARG
Armenia,GDP_per_capita,118450,ARM
Australia,GDP_per_capita,547990,AUS
Austria,GDP_per_capita,551710,AUT
Azerbaijan,GDP_per_capita,191560,AZE
Bahrain,GDP_per_capita,519910,BHR
Bangladesh,GDP_per_capita,54530,BGD
Barbados,GDP_per_capita,193640,BRB
Belarus,GDP_per_capita,212240,BLR
Belgium,GDP_per_capita,509040,BEL
Belize,GDP_per_capita,87910,BLZ
Benin,GDP_per_capita,36480,BEN
Bhutan,GDP_per_capita,106270,BTN
Bolivia,GDP_per_capita,85250,BOL
Bosnia and Herzegovina,GDP_per_capita,148940,BIH
Botswana,GDP_per_capita,193880,BWA
Brazil,GDP_per_capita,171060,BRA
Brunei,GDP_per_capita,850110,BRN
Bulgaria,GDP_per_capita,260340,BGR
Burkina Faso,GDP_per_capita,21810,BFA
Burundi,GDP_per_capita,7240,BDI
Cambodia,GDP_per_capita,50040,KHM
Cameroon,GDP_per_capita,40990,CMR
Canada,GDP_per_capita,521440,CAN
Cape Verde,GDP_per_capita,87160,CPV
Central African Republic,GDP_per_capita,8640,CAF
Chad,GDP_per_capita,26030,TCD
Chile,GDP_per_capita,271500,CHL
China,GDP_per_capita,209840,CHN
Colombia,GDP_per_capita,162650,COL
Comoros,GDP_per_capita,28980,COM
Costa Rica,GDP_per_capita,186510,CRI
Croatia,GDP_per_capita,292070,HRV
Cuba,GDP_per_capita,88220,CUB
Cyprus,GDP_per_capita,429560,CYP
Czech Republic,GDP_per_capita,405850,CZE
