Country,Type,Value,ISO-code
Burkina Faso,Population growth,2.86,BFA
Burundi,Population growth,3.19,BDI
Cambodia,Population growth,1.76,KHM
Cameroon,Population growth,2.54,CMR
Canada,Population growth,1.14,CAN
Cape Verde,Population growth,0.78,CPV
Central African Republic,Population growth,1.99,CAF
Chad,Population growth,3,TCD
Chile,Population growth,0.9,CHL
China,Population growth,0.49,CHN
Colombia,Population growth,1.32,COL
Comoros,Population growth,2.44,COM
Costa Rica,Population growth,1.42,CRI
Croatia,Population growth,-0.32,HRV
Cuba,Population growth,-0.05,CUB
Cyprus,Population growth,1.11,CYP
Czech Republic,Population growth,0.18,CZE
Democratic Republic of the Congo,Population growth,2.74,COD
Denmark,Population growth,0.36,DNK
Djibouti,Population growth,1.52,DJI
Dominican Republic,Population growth,1.26,DOM
East Timor,Population growth,2.88,TLS
Ecuador,Population growth,1.6,ECU
Egypt,Population growth,1.66,EGY
El Salvador,Population growth,0.66,SLV
Equatorial Guinea,Population growth,2.8,GNQ
Eritrea,Population growth,3.28,ERI
Estonia,Population growth,-0.04,EST
Eswatini,Population growth,1.54,SWZ
Ethiopia,Population growth,2.58,ETH
Fiji,Population growth,0.78,FJI
Finland,Population growth,0.48,FIN
France,Population growth,0.5,FRA
Gabon,Population growth,2.39,GAB
Georgia,Population growth,0.63,GEO
Germany,Population growth,0.11,DEU
Ghana,Population growth,2.17,GHA
Greece,Population growth,-0.18,GRC
Greenland,Population growth,-0.11,GRL
Grenada,Population growth,0.39,GRD
Guatemala,Population growth,2.53,GTM
Guinea,Population growth,2.39,GIN
Guyana,Population growth,0.57,GUY
Haiti,Population growth,1.39,HTI
Honduras,Population growth,2.03,HND
Hong Kong,Population growth,1.17,HKG
Hungary,Population growth,-0.28,HUN
Iceland,Population growth,0.35,ISL
India,Population growth,1.26,IND
Indonesia,Population growth,1.25,IDN
Iran,Population growth,1.32,IRN
Iraq,Population growth,2.54,IRQ
Ireland,Population growth,0.26,IRL
Israel,Population growth,1.81,ISR
Italy,Population growth,0.32,ITA
Ivory Coast,Population growth,2.29,CIV
Jamaica,Population growth,0.21,JAM
Japan,Population growth,-0.2,JPN
Jordan,Population growth,2.19,JOR
Kazakhstan,Population growth,1.43,KAZ
Kenya,Population growth,2.7,KEN
Kiribati,Population growth,1.54,KIR
Kuwait,Population growth,3.95,KWT
Kyrgyzstan,Population growth,1.22,KGZ
Laos,Population growth,1.89,LAO
Latvia,Population growth,-1.6,LVA
Lebanon,Population growth,0.96,LBN
Lesotho,Population growth,1.08,LSO
Liberia,Population growth,2.68,LBR
Libya,Population growth,0.84,LBY
Liechtenstein,Population growth,0.73,LIE
Lithuania,Population growth,-1.48,LTU
Luxembourg,Population growth,2.49,LUX
Madagascar,Population growth,2.8,MDG
Malawi,Population growth,2.86,MWI
Malaysia,Population growth,1.66,MYS
Mali,Population growth,2.99,MLI
Malta,Population growth,0.4,MLT
Marshall Islands,Population growth,0.11,MHL
Mauritania,Population growth,2.49,MRT
Mauritius,Population growth,0.42,MUS
Mexico,Population growth,1.24,MEX
Micronesia,Population growth,-0.03,FSM
Moldova,Population growth,-0.04,MDA
Mongolia,Population growth,1.52,MNG
Montenegro,Population growth,0.07,MNE
Morocco,Population growth,1.43,MAR
Mozambique,Population growth,2.5,MOZ
Myanmar,Population growth,0.85,MMR
Namibia,Population growth,1.87,NAM
Nepal,Population growth,1.16,NPL
